"","Symbol","logFC_FucoVsCtrl","pval_FucoVsCtrl","padj_FucoVsCtrl","up_FucoVsCtrl","down_FucoVsCtrl","sig_FucoVsCtrl"
"Itgb7","Itgb7",0.0488652636549815,0.834919884511671,0.999813034205243,FALSE,FALSE,"Not sig."
"Myg1","Myg1",0.158605268365294,0.427745752004702,0.999813034205243,FALSE,FALSE,"Not sig."
"Rarg","Rarg",-0.311195233086909,0.304217504367652,0.999813034205243,FALSE,FALSE,"Not sig."
"Pfdn5","Pfdn5",-0.0926584234639207,0.694611704055188,0.999813034205243,FALSE,FALSE,"Not sig."
"Efnb2","Efnb2",0.255293659913683,0.524504221025917,0.999813034205243,FALSE,FALSE,"Not sig."
"Rrp15","Rrp15",0.141971925280512,0.589814667229426,0.999813034205243,FALSE,FALSE,"Not sig."
"Rnd2","Rnd2",0.553176820077556,0.160406252637917,0.999813034205243,FALSE,FALSE,"Not sig."
"Srr","Srr",0.42001756450899,0.0371534443656998,0.999813034205243,FALSE,FALSE,"Not sig."
"Sync","Sync",0.216500280313275,0.373421452234362,0.999813034205243,FALSE,FALSE,"Not sig."
"Acp5","Acp5",-0.0376539566110279,0.904058168794479,0.999813034205243,FALSE,FALSE,"Not sig."
"Fbxo9","Fbxo9",0.0689547015653794,0.873772527830911,0.999813034205243,FALSE,FALSE,"Not sig."
"Vps50","Vps50",-0.0233393594903259,0.8832884212303,0.999813034205243,FALSE,FALSE,"Not sig."
"Hars1","Hars1",0.102379025157241,0.533618711746341,0.999813034205243,FALSE,FALSE,"Not sig."
"Zmat2","Zmat2",0.0615097868455132,0.816160491279306,0.999813034205243,FALSE,FALSE,"Not sig."
"Ube2c","Ube2c",0.256604593410027,0.555621245434546,0.999813034205243,FALSE,FALSE,"Not sig."
"Smg5","Smg5",0.0942343144688401,0.525437304348507,0.999813034205243,FALSE,FALSE,"Not sig."
"Cct3","Cct3",0.355809645565187,0.068872725747968,0.999813034205243,FALSE,FALSE,"Not sig."
"Glmp","Glmp",-0.167015742693128,0.389040768132471,0.999813034205243,FALSE,FALSE,"Not sig."
"Mef2d","Mef2d",-0.155173966827228,0.349594529914389,0.999813034205243,FALSE,FALSE,"Not sig."
"Tmem79","Tmem79",-0.246609854784308,0.550677908311412,0.999813034205243,FALSE,FALSE,"Not sig."
"Snd1","Snd1",0.129145491766043,0.39183387409011,0.999813034205243,FALSE,FALSE,"Not sig."
"Col18a1","Col18a1",-0.409901989394261,0.428659868602762,0.999813034205243,FALSE,FALSE,"Not sig."
"Slc19a1","Slc19a1",-0.377434007272896,0.264847061422065,0.999813034205243,FALSE,FALSE,"Not sig."
"Kpnb1","Kpnb1",0.258733882220394,0.164384840337186,0.999813034205243,FALSE,FALSE,"Not sig."
"Npepps","Npepps",0.0808228348892364,0.613075166117708,0.999813034205243,FALSE,FALSE,"Not sig."
"Tbx21","Tbx21",-0.243325899637958,0.546465588921235,0.999813034205243,FALSE,FALSE,"Not sig."
"Mrpl10","Mrpl10",-0.193434892332227,0.434986023519329,0.999813034205243,FALSE,FALSE,"Not sig."
"Cyp51","Cyp51",0.669386517915028,0.0538084799269205,0.999813034205243,FALSE,FALSE,"Not sig."
"Tcf25","Tcf25",-0.203060858837042,0.198148674244542,0.999813034205243,FALSE,FALSE,"Not sig."
"Tubb6","Tubb6",0.0362282572067546,0.911063918261823,0.999813034205243,FALSE,FALSE,"Not sig."
"Def8","Def8",-0.0377058918437189,0.890366263745589,0.999813034205243,FALSE,FALSE,"Not sig."
"Itga3","Itga3",0.582179188475921,0.277449354994821,0.999813034205243,FALSE,FALSE,"Not sig."
"Foxm1","Foxm1",0.0430075680947426,0.880783129844299,0.999813034205243,FALSE,FALSE,"Not sig."
"Itfg2","Itfg2",0.0584148736455603,0.790315963468667,0.999813034205243,FALSE,FALSE,"Not sig."
"Nrip2","Nrip2",0.0938992494281328,0.724284415280642,0.999813034205243,FALSE,FALSE,"Not sig."
"Tulp3","Tulp3",-0.208087044082527,0.444535460673479,0.999813034205243,FALSE,FALSE,"Not sig."
"Gtf2h4","Gtf2h4",0.120236491588722,0.769856541021869,0.999813034205243,FALSE,FALSE,"Not sig."
"Tubb5","Tubb5",0.231524975709494,0.208101266771592,0.999813034205243,FALSE,FALSE,"Not sig."
"Ell2","Ell2",0.197840517843844,0.624752445559085,0.999813034205243,FALSE,FALSE,"Not sig."
"Jup","Jup",-0.692656837423026,0.0484844386387766,0.999813034205243,FALSE,FALSE,"Not sig."
"Nom1","Nom1",-0.149012568532908,0.520070043323821,0.999813034205243,FALSE,FALSE,"Not sig."
"Ergic1","Ergic1",-0.435817324891951,0.0594064119946202,0.999813034205243,FALSE,FALSE,"Not sig."
"Tnk1","Tnk1",0.79201551535194,0.0680264530616398,0.999813034205243,FALSE,FALSE,"Not sig."
"Acap1","Acap1",-0.0777807515382172,0.772206332989089,0.999813034205243,FALSE,FALSE,"Not sig."
"Ifrd1","Ifrd1",0.199051022665869,0.49862901548064,0.999813034205243,FALSE,FALSE,"Not sig."
"Stk38l","Stk38l",0.0575318697194513,0.779061323679558,0.999813034205243,FALSE,FALSE,"Not sig."
"Brpf1","Brpf1",0.138660269308417,0.550814099819144,0.999813034205243,FALSE,FALSE,"Not sig."
"Akr1b1","Akr1b1",-0.0021657929311428,0.989981794248837,0.999813034205243,FALSE,FALSE,"Not sig."
"Gstt1","Gstt1",-0.828793236829666,0.216086287141158,0.999813034205243,FALSE,FALSE,"Not sig."
"Ddt","Ddt",-0.00943538433372542,0.982182332194211,0.999813034205243,FALSE,FALSE,"Not sig."
"Ddx18","Ddx18",0.054599806710736,0.803066617441227,0.999813034205243,FALSE,FALSE,"Not sig."
"Ubl3","Ubl3",0.202440507515329,0.352707876113572,0.999813034205243,FALSE,FALSE,"Not sig."
"Gramd2b","Gramd2b",0.0989010852723583,0.721970305628126,0.999813034205243,FALSE,FALSE,"Not sig."
"Eef1e1","Eef1e1",-0.281347526978348,0.47794090643876,0.999813034205243,FALSE,FALSE,"Not sig."
"Akt1","Akt1",-0.0365103173700517,0.872509065724943,0.999813034205243,FALSE,FALSE,"Not sig."
"Cldn15","Cldn15",0.0288829548161881,0.929815639435596,0.999813034205243,FALSE,FALSE,"Not sig."
"Il16","Il16",-0.0920487613815845,0.630592848514751,0.999813034205243,FALSE,FALSE,"Not sig."
"Tcirg1","Tcirg1",0.00973975825164634,0.967722390379576,0.999813034205243,FALSE,FALSE,"Not sig."
"Naglu","Naglu",-0.00441245569272351,0.987539073352765,0.999813034205243,FALSE,FALSE,"Not sig."
"Coasy","Coasy",0.112486674585599,0.670859419163304,0.999813034205243,FALSE,FALSE,"Not sig."
"Tspan33","Tspan33",0.0392042969546304,0.930464353295495,0.999813034205243,FALSE,FALSE,"Not sig."
"Crnkl1","Crnkl1",0.149521450455717,0.498408574475235,0.999813034205243,FALSE,FALSE,"Not sig."
"Rin2","Rin2",0.00693895784359476,0.982002878974963,0.999813034205243,FALSE,FALSE,"Not sig."
"Chordc1","Chordc1",-0.212997065083746,0.23135486545095,0.999813034205243,FALSE,FALSE,"Not sig."
"Rtcb","Rtcb",-0.0840946797724087,0.702397195039058,0.999813034205243,FALSE,FALSE,"Not sig."
"Pwp1","Pwp1",0.340814889980945,0.250870637195963,0.999813034205243,FALSE,FALSE,"Not sig."
"Fbxo7","Fbxo7",0.0515042041248245,0.889097624248491,0.999813034205243,FALSE,FALSE,"Not sig."
"Capns1","Capns1",-0.223095907481158,0.475231488570152,0.999813034205243,FALSE,FALSE,"Not sig."
"Clpb","Clpb",0.246797810743201,0.211632723663063,0.999813034205243,FALSE,FALSE,"Not sig."
"Septin7","Septin7",-0.197828563397635,0.335991406742521,0.999813034205243,FALSE,FALSE,"Not sig."
"Zdhhc4","Zdhhc4",-0.210724455245253,0.382464357997657,0.999813034205243,FALSE,FALSE,"Not sig."
"Rac1","Rac1",-0.36758279388897,0.282900566410434,0.999813034205243,FALSE,FALSE,"Not sig."
"Nup214","Nup214",0.0767972334315707,0.641454950605031,0.999813034205243,FALSE,FALSE,"Not sig."
"Ltbp1","Ltbp1",-0.391188989762418,0.296311931718899,0.999813034205243,FALSE,FALSE,"Not sig."
"Ugp2","Ugp2",0.0624763973670092,0.790666928598877,0.999813034205243,FALSE,FALSE,"Not sig."
"Kcnh6","Kcnh6",0.407662282141989,0.425178839069503,0.999813034205243,FALSE,FALSE,"Not sig."
"Trmt1","Trmt1",0.184716968660548,0.408592183907579,0.999813034205243,FALSE,FALSE,"Not sig."
"Nacc1","Nacc1",-0.246779348385135,0.173307232652476,0.999813034205243,FALSE,FALSE,"Not sig."
"Nfix","Nfix",0.110448891210423,0.741125246573982,0.999813034205243,FALSE,FALSE,"Not sig."
"Slc1a5","Slc1a5",0.101418982411789,0.588583519149462,0.999813034205243,FALSE,FALSE,"Not sig."
"Uba1","Uba1",-0.231788480564506,0.424863113768698,0.999813034205243,FALSE,FALSE,"Not sig."
"Vwf","Vwf",-0.31754674189588,0.41294100408324,0.999813034205243,FALSE,FALSE,"Not sig."
"Siae","Siae",-0.128876217093849,0.559917569532964,0.999813034205243,FALSE,FALSE,"Not sig."
"Vsig2","Vsig2",-0.393382667975648,0.229842199389542,0.999813034205243,FALSE,FALSE,"Not sig."
"Esam","Esam",-0.461442234190782,0.217116193024244,0.999813034205243,FALSE,FALSE,"Not sig."
"Spa17","Spa17",0.201520318581225,0.643548863848365,0.999813034205243,FALSE,FALSE,"Not sig."
"Fam50a","Fam50a",-0.0468250008935486,0.830729427953725,0.999813034205243,FALSE,FALSE,"Not sig."
"Emd","Emd",0.272926107192853,0.14749175863119,0.999813034205243,FALSE,FALSE,"Not sig."
"Taco1","Taco1",-0.358340313894687,0.265223029531662,0.999813034205243,FALSE,FALSE,"Not sig."
"Gria3","Gria3",-0.435899646464059,0.211245959401321,0.999813034205243,FALSE,FALSE,"Not sig."
"Sipa1l2","Sipa1l2",-0.150862742480894,0.482769447714393,0.999813034205243,FALSE,FALSE,"Not sig."
"Ap4e1","Ap4e1",-0.0412590925246897,0.810215984425019,0.999813034205243,FALSE,FALSE,"Not sig."
"Blvra","Blvra",0.0290799032640655,0.893080560593079,0.999813034205243,FALSE,FALSE,"Not sig."
"Pdzd4","Pdzd4",-0.230529962127914,0.479596517877367,0.999813034205243,FALSE,FALSE,"Not sig."
"Srpk3","Srpk3",-0.140302054611223,0.64451000608865,0.999813034205243,FALSE,FALSE,"Not sig."
"Idh3g","Idh3g",0.0856167216387695,0.681309724287106,0.999813034205243,FALSE,FALSE,"Not sig."
