"","Symbol","logFC_FucoVsCtrl","pval_FucoVsCtrl","padj_FucoVsCtrl","up_FucoVsCtrl","down_FucoVsCtrl","sig_FucoVsCtrl"
"Cpne2","Cpne2",-0.298830737985121,0.36841215878344,0.512720880622534,FALSE,FALSE,"Not sig."
"Tkfc","Tkfc",0.552650565949466,0.121016830523723,0.237250461840682,FALSE,FALSE,"Not sig."
"Tulp4","Tulp4",0.357004415171372,0.0202082093477077,0.0689485641936877,FALSE,FALSE,"Not sig."
"Wdr5b","Wdr5b",0.257625925463619,0.391938032630518,0.534089518023712,FALSE,FALSE,"Not sig."
"Cmip","Cmip",-0.234614713895588,0.220672085255908,0.359871864571331,FALSE,FALSE,"Not sig."
"Spata6","Spata6",0.169504763170669,0.333333901137073,0.479471199079793,FALSE,FALSE,"Not sig."
"Pja1","Pja1",0.555478371114995,0.00192777991515574,0.0118412678195249,TRUE,FALSE,"Up"
"Tbc1d10a","Tbc1d10a",0.331589620007314,0.185388128467464,0.318951963824816,FALSE,FALSE,"Not sig."
"Pkd1l2","Pkd1l2",-0.48779616649364,0.303202920273722,0.449211675208531,FALSE,FALSE,"Not sig."
"Parp14","Parp14",0.161416240521508,0.371648126563281,0.515566254725029,FALSE,FALSE,"Not sig."
"Gcsh","Gcsh",-0.3405051080831,0.370645379133863,0.51468727041616,FALSE,FALSE,"Not sig."
"Myo15b","Myo15b",0.61239791981368,0.224172808623608,0.36410715072464,FALSE,FALSE,"Not sig."
"Zfp707","Zfp707",0.501423989423141,0.0382451367252506,0.108681662310953,FALSE,FALSE,"Not sig."
"Zxdc","Zxdc",0.562138998033322,0.000526773474008398,0.00413672110471301,TRUE,FALSE,"Up"
"Cops8","Cops8",-0.102873435037164,0.644523760373492,0.750777747046036,FALSE,FALSE,"Not sig."
"Gbp8","Gbp8",0.388763458140054,0.183419006495737,0.316419127644312,FALSE,FALSE,"Not sig."
"Trmt5","Trmt5",0.861538366347517,0.0070451592952083,0.0323253031062409,TRUE,FALSE,"Up"
"Cyb561a3","Cyb561a3",0.343481880132706,0.157278106484435,0.284105795058755,FALSE,FALSE,"Not sig."
"Dhrs11","Dhrs11",-2.23620871088549,8.04622787335661e-08,3.89853720396726e-06,FALSE,TRUE,"Down"
"Slc24a1","Slc24a1",0.523941098069284,0.0849573204212144,0.186223478421977,FALSE,FALSE,"Not sig."
"Polr3b","Polr3b",0.144284566412342,0.303916846977037,0.44969372865403,FALSE,FALSE,"Not sig."
"Ifit1","Ifit1",-2.45702264554393,1.64743410335575e-10,9.39711389227786e-08,FALSE,TRUE,"Down"
"Pkd2","Pkd2",0.251073269520917,0.610918981608972,0.722696930521628,FALSE,FALSE,"Not sig."
"Caskin2","Caskin2",0.464724784177902,0.109884408484655,0.221908503713218,FALSE,FALSE,"Not sig."
"Sec22a","Sec22a",0.399135561044609,0.135167115689614,0.255597894275472,FALSE,FALSE,"Not sig."
"Diaph2","Diaph2",0.454496609347668,0.0449777352314601,0.121460210763846,FALSE,FALSE,"Not sig."
"Snx2","Snx2",0.414357256064644,0.0442154706440563,0.119969716997246,FALSE,FALSE,"Not sig."
"Poglut3","Poglut3",-1.60753408757026,0.00224949909960474,0.0133977048889131,FALSE,TRUE,"Down"
"4930556J24Rik","4930556J24Rik",0.225450672568907,0.395198048207359,0.537132059672279,FALSE,FALSE,"Not sig."
"Pcnx4","Pcnx4",0.667399704617825,0.0161692879383,0.0590536654067889,FALSE,FALSE,"Not sig."
"Mad2l1bp","Mad2l1bp",-0.446073795283676,0.0773225897657594,0.175236929625704,FALSE,FALSE,"Not sig."
"Hmgxb4","Hmgxb4",0.0630117928656216,0.684997044706008,0.782595403679507,FALSE,FALSE,"Not sig."
"Zfp395","Zfp395",0.346964517108577,0.182179545987154,0.315073197711245,FALSE,FALSE,"Not sig."
"Ice1","Ice1",0.386211803641228,0.0713928237278504,0.166216798694025,FALSE,FALSE,"Not sig."
"Zfp418","Zfp418",0.0595445961761436,0.865328942524137,0.913521018043796,FALSE,FALSE,"Not sig."
"Morc2a","Morc2a",0.440397063443356,0.0135416427795078,0.0520918451165333,FALSE,FALSE,"Not sig."
"Rsrc1","Rsrc1",0.28863741522555,0.111718120089805,0.224312110241113,FALSE,FALSE,"Not sig."
"Zfyve9","Zfyve9",0.447927201999556,0.171753214483581,0.302078638900415,FALSE,FALSE,"Not sig."
"Washc4","Washc4",0.545665751215221,0.00371153868061568,0.0198534095920913,TRUE,FALSE,"Up"
"Ccpg1","Ccpg1",-0.301899591116317,0.140014091383515,0.261833232363667,FALSE,FALSE,"Not sig."
"Atp5pd","Atp5pd",-1.54844150097908,3.26059455950855e-08,2.04586005636364e-06,FALSE,TRUE,"Down"
"Inpp5j","Inpp5j",-0.756374995736654,0.206333032896175,0.343131888393069,FALSE,FALSE,"Not sig."
"Ptpn13","Ptpn13",-0.0301129777458314,0.924571214263462,0.950474659440664,FALSE,FALSE,"Not sig."
"Daam1","Daam1",-1.08484868006818,8.47019254776847e-05,0.000913165346064833,FALSE,TRUE,"Down"
"Tent4a","Tent4a",-0.301707112176584,0.128066807785851,0.246716360286251,FALSE,FALSE,"Not sig."
"Pla2g3","Pla2g3",-0.517466140193973,0.452141928744524,0.589315440778461,FALSE,FALSE,"Not sig."
"Hid1","Hid1",0.38085244532045,0.282291374601729,0.426598562123928,FALSE,FALSE,"Not sig."
"Slc41a2","Slc41a2",0.433323966486433,0.126911773440157,0.245191708107719,FALSE,FALSE,"Not sig."
"Myo5a","Myo5a",0.458040569822127,0.01621014219113,0.0591340332431659,FALSE,FALSE,"Not sig."
"Ppp1r18","Ppp1r18",0.0988813912582536,0.644653785925986,0.750859509892816,FALSE,FALSE,"Not sig."
"2700049A03Rik","2700049A03Rik",0.384451795560413,0.0267968506829867,0.0842791175991981,FALSE,FALSE,"Not sig."
"Mon2","Mon2",0.535931535366945,0.000685372653685099,0.00516561046912571,TRUE,FALSE,"Up"
"Tut4","Tut4",0.370467120298566,0.0510789976303353,0.13189348906997,FALSE,FALSE,"Not sig."
"Chst11","Chst11",-0.694076925012662,0.00268072754872901,0.0154526642209464,FALSE,TRUE,"Down"
"Ppm1h","Ppm1h",0.298016443838194,0.137086116810058,0.25802185325315,FALSE,FALSE,"Not sig."
"Pik3ip1","Pik3ip1",0.646608142673308,0.00646877040710884,0.0302333705172472,TRUE,FALSE,"Up"
"Ssh3","Ssh3",0.465495850491883,0.0527677635621137,0.134864086546021,FALSE,FALSE,"Not sig."
"Mtrr","Mtrr",0.377370619669241,0.208606042630633,0.3456750599461,FALSE,FALSE,"Not sig."
"Rxylt1","Rxylt1",0.26178430845305,0.393167714718209,0.535125992624599,FALSE,FALSE,"Not sig."
"Gpatch8","Gpatch8",0.164089903598674,0.202138542711691,0.338128042187284,FALSE,FALSE,"Not sig."
"Ly6d","Ly6d",-0.0734238796240816,0.867437267579328,0.915052981746217,FALSE,FALSE,"Not sig."
"Zyg11b","Zyg11b",0.177257924098702,0.231119891295374,0.372218110352368,FALSE,FALSE,"Not sig."
"Setmar","Setmar",-0.582899241508105,0.0906281693703886,0.194187682327987,FALSE,FALSE,"Not sig."
"Tiparp","Tiparp",0.144673883107274,0.646704692165098,0.752715380775486,FALSE,FALSE,"Not sig."
"Cd300ld","Cd300ld",-0.0672037457238349,0.85858136839913,0.909226801016091,FALSE,FALSE,"Not sig."
