"","geneID","Geneid","is_re","mgi_symbol","entrezgene_id","logFC_FucovsCtrl_F","pval_FucovsCtrl_F","padj_FucovsCtrl_F","sig_FucovsCtrl_F","logFC_FucovsCtrl_M","pval_FucovsCtrl_M","padj_FucovsCtrl_M","sig_FucovsCtrl_M"
"15582","Rps6kb2","ENSMUSG00000024830",FALSE,"Rps6kb2",58988,0.0165473776447082,0.901677933079525,1,"Not Sig.",-0.0543168438846706,0.676932974720327,0.997255085969628,"Not Sig."
"15583","Rps6kc1","ENSMUSG00000089872",FALSE,"Rps6kc1",320119,-0.169685506937307,0.181815891166622,1,"Not Sig.",-0.161572055502253,0.18767938345442,0.963929711259107,"Not Sig."
"15584","Rps6kl1","ENSMUSG00000019235",FALSE,"Rps6kl1",238323,0.0799521509450768,0.560090567267772,1,"Not Sig.",0.115001769072765,0.367414312411783,0.993405749193857,"Not Sig."
"15585","Rps7","ENSMUSG00000061477",FALSE,"Rps7",20115,-0.0913003921035004,0.567981385088643,1,"Not Sig.",-0.163195202271554,0.311312836090933,0.993405749193857,"Not Sig."
"15586","Rps8","ENSMUSG00000047675",FALSE,"Rps8",20116,-0.13271716931428,0.566639391920953,1,"Not Sig.",0.0140246561613363,0.953893385442185,0.999068264048154,"Not Sig."
"15587","Rps9","ENSMUSG00000006333",FALSE,"Rps9",76846,0.00498735555374441,0.987288006291039,1,"Not Sig.",0.14504930432296,0.693504074176205,0.997255085969628,"Not Sig."
"15588","Rpsa","ENSMUSG00000032518",FALSE,"Rpsa",16785,0.395255056381611,0.063987261909956,1,"Not Sig.",-0.257693863318099,0.340959128532324,0.993405749193857,"Not Sig."
"15589","Rptn","ENSMUSG00000041984",FALSE,"Rptn",20129,0.0834591668816207,0.685373260394395,1,"Not Sig.",0.262510947034077,0.28132084650615,0.986137123213456,"Not Sig."
"15590","Rptor","ENSMUSG00000025583",FALSE,"Rptor",74370,-0.061495840537953,0.612017100320511,1,"Not Sig.",-0.0175309222479742,0.882370775597201,0.999068264048154,"Not Sig."
"15591","Rpusd1","ENSMUSG00000041199",FALSE,"Rpusd1",106707,-0.133525316069977,0.341644295772253,1,"Not Sig.",0.255499893529929,0.0322273911674328,0.832784521343005,"Not Sig."
"15592","Rpusd2","ENSMUSG00000027324",FALSE,"Rpusd2",271842,0.0269753355806666,0.905890191475685,1,"Not Sig.",-0.0205820257496068,0.926638488226289,0.999068264048154,"Not Sig."
"15593","Rpusd3","ENSMUSG00000051169",FALSE,"Rpusd3",101122,-0.020581974954026,0.927828123197337,1,"Not Sig.",-0.166705830966819,0.440405765099519,0.993405749193857,"Not Sig."
"15594","Rpusd4","ENSMUSG00000032044",FALSE,"Rpusd4",71989,0.154708464279059,0.391379872262463,1,"Not Sig.",0.0568895559931623,0.737158623780213,0.997255085969628,"Not Sig."
"15595","Rrad","ENSMUSG00000031880",FALSE,"Rrad",56437,-0.113051042949179,0.531548575395699,1,"Not Sig.",0.00641686180825713,0.965283172038074,0.999068264048154,"Not Sig."
"15596","Rraga","ENSMUSG00000070934",FALSE,"Rraga",68441,0.194710901119259,0.613587171046377,1,"Not Sig.",0.256164346391842,0.599529920079895,0.997255085969628,"Not Sig."
"15597","Rragb","ENSMUSG00000041658",FALSE,"Rragb",245670,-0.0625482863939474,0.686703782111611,1,"Not Sig.",0.0478465618063344,0.832412723911321,0.999068264048154,"Not Sig."
"15598","Rragc","ENSMUSG00000028646",FALSE,"Rragc",54170,0.0232187436084088,0.879417946923642,1,"Not Sig.",-0.0230952192210785,0.873568977498902,0.999068264048154,"Not Sig."
"15599","Rragd","ENSMUSG00000028278",FALSE,"Rragd",52187,-0.064669791834018,0.611498381862635,1,"Not Sig.",-0.0402341081480098,0.743570599782799,0.997255085969628,"Not Sig."
"15600","Rras","ENSMUSG00000038387",FALSE,"Rras",20130,-0.206403968036989,0.291960482010122,1,"Not Sig.",-0.404992260119074,0.0353459153119786,0.834076425338382,"Not Sig."
"15601","Rras2","ENSMUSG00000055723",FALSE,"Rras2",66922,0.0649411318581728,0.690203050352508,1,"Not Sig.",0.0941597643193347,0.542968365707306,0.993405749193857,"Not Sig."
"15602","Rrbp1","ENSMUSG00000027422",FALSE,"Rrbp1",81910,-0.124497277301661,0.30495859659959,1,"Not Sig.",0.00101383971854747,0.993595833489978,0.999100566295736,"Not Sig."
"15603","Rreb1","ENSMUSG00000039087",FALSE,"Rreb1",68750,0.0196832696603544,0.883482512961619,1,"Not Sig.",-0.0763893541821194,0.559500438460798,0.993638347649001,"Not Sig."
"15604","Rrh","ENSMUSG00000028012",FALSE,"Rrh",20132,0.0539297761770505,0.665171502845641,1,"Not Sig.",0.0259224799111909,0.823094916783926,0.999068264048154,"Not Sig."
"15605","Rrm1","ENSMUSG00000030978",FALSE,"Rrm1",20133,-0.0435516356218108,0.704325465124819,1,"Not Sig.",0.0582160869796321,0.625789180207213,0.997255085969628,"Not Sig."
"15606","Rrm2","ENSMUSG00000020649",FALSE,"Rrm2",20135,0.149463227616596,0.377347419355044,1,"Not Sig.",-0.0587055909564848,0.711977105712161,0.997255085969628,"Not Sig."
"15607","Rrm2b","ENSMUSG00000022292",FALSE,"Rrm2b",382985,0.0282249970289226,0.835232832961096,1,"Not Sig.",0.138846315040267,0.392894579132586,0.993405749193857,"Not Sig."
"15608","Rrn3","ENSMUSG00000022682",FALSE,"Rrn3",106298,0.194465245436511,0.12331734622079,1,"Not Sig.",-0.14543961549468,0.269117348843375,0.984905890378959,"Not Sig."
"15609","Rrp1","ENSMUSG00000061032",FALSE,"Rrp1",18114,-0.112540719308976,0.465902874314434,1,"Not Sig.",-0.0987663172761954,0.492154244930706,0.993405749193857,"Not Sig."
"15610","Rrp12","ENSMUSG00000035049",FALSE,"Rrp12",107094,-0.0639521323848243,0.666807987328939,1,"Not Sig.",-0.105484541747693,0.464300311875488,0.993405749193857,"Not Sig."
"15611","Rrp15","ENSMUSG00000001305",FALSE,"Rrp15",67223,-0.0806940942140114,0.564216532811435,1,"Not Sig.",0.0236097166000431,0.84451571254775,0.999068264048154,"Not Sig."
"15612","Rrp1b","ENSMUSG00000058392",FALSE,"Rrp1b",72462,0.00541805617957721,0.9606209984606,1,"Not Sig.",-0.0202173532669146,0.84571585114835,0.999068264048154,"Not Sig."
"15613","Rrp36","ENSMUSG00000023971",FALSE,"Rrp36",224823,0.044832848795995,0.783336160573659,1,"Not Sig.",-0.0748851543916187,0.612923501829943,0.997255085969628,"Not Sig."
"15614","Rrp7a","ENSMUSG00000018040",FALSE,"Rrp7a",74778,0.0285323399893705,0.84783813999433,1,"Not Sig.",0.104519842984985,0.440614818670669,0.993405749193857,"Not Sig."
"15615","Rrp8","ENSMUSG00000030888",FALSE,"Rrp8",101867,0.175253508107463,0.238617286373992,1,"Not Sig.",-0.255327973588518,0.0898652466976072,0.923840547010378,"Not Sig."
"15616","Rrp9","ENSMUSG00000041506",FALSE,"Rrp9",27966,-0.201398345653107,0.236945854504596,1,"Not Sig.",0.0327243758491077,0.840714663125631,0.999068264048154,"Not Sig."
"15617","Rrs1","ENSMUSG00000061024",FALSE,"Rrs1",59014,-0.296223096459102,0.0817869806496796,1,"Not Sig.",-0.082787925916532,0.55131659950028,0.993638347649001,"Not Sig."
"15618","Rs1","ENSMUSG00000031293",FALSE,"Rs1",20147,0.0494119291659852,0.756423845186749,1,"Not Sig.",0.0900927110458856,0.649731832988168,0.997255085969628,"Not Sig."
"15619","Rsad1","ENSMUSG00000039096",FALSE,"Rsad1",237926,0.019816540676353,0.905085451484286,1,"Not Sig.",-0.114269967251848,0.482043931767981,0.993405749193857,"Not Sig."
"15620","Rsad2","ENSMUSG00000020641",FALSE,"Rsad2",58185,0.0746501931923366,0.657597432345688,1,"Not Sig.",0.0871468765782487,0.627117858463772,0.997255085969628,"Not Sig."
"15621","Rsbn1","ENSMUSG00000044098",FALSE,"Rsbn1",229675,0.318703116178131,0.0972710029871344,1,"Not Sig.",-0.0419718762189572,0.851546191186815,0.999068264048154,"Not Sig."
"15622","Rsbn1l","ENSMUSG00000039968",FALSE,"Rsbn1l",242860,0.0401097821051754,0.727544253836654,1,"Not Sig.",-0.0220765429384555,0.844169607787583,0.999068264048154,"Not Sig."
"15623","Rsf1","ENSMUSG00000035623",FALSE,"Rsf1",233532,0.143376619115829,0.195570197427637,1,"Not Sig.",-0.00321288854419341,0.976639657252872,0.999100566295736,"Not Sig."
"15624","Rskr","ENSMUSG00000037593",FALSE,"Rskr",216976,0.134084957242299,0.480190158902252,1,"Not Sig.",0.103859453137933,0.659811756768415,0.997255085969628,"Not Sig."
"15625","Rsl1","ENSMUSG00000058900",FALSE,"Rsl1",380855,0.0542983162773992,0.876047481913901,1,"Not Sig.",0.603948199586819,0.167023997803515,0.954458468280351,"Not Sig."
"15626","Rsl1d1","ENSMUSG00000005846",FALSE,"Rsl1d1",66409,-0.14388105551715,0.397803085641477,1,"Not Sig.",0.0503725838491529,0.752417917940557,0.997255085969628,"Not Sig."
"15627","Rsl24d1","ENSMUSG00000032215",FALSE,"Rsl24d1",225215,0.0352826080493025,0.847791294303455,1,"Not Sig.",-0.129748390252306,0.503560198070574,0.993405749193857,"Not Sig."
"15628","Rslcan18","ENSMUSG00000074824",FALSE,"Rslcan18",432770,-0.113582896518089,0.328065701721959,1,"Not Sig.",-0.09330550122557,0.45347119131795,0.993405749193857,"Not Sig."
"15629","Rsph1","ENSMUSG00000024033",FALSE,"Rsph1",22092,-0.07731796159741,0.614422110122599,1,"Not Sig.",0.305032429507403,0.0269483125968133,0.818065833603797,"Not Sig."
"15630","Rsph10b","ENSMUSG00000075569",FALSE,"Rsph10b",18861,-0.127469574513797,0.33368698767522,1,"Not Sig.",-0.0707576857644996,0.56896195038178,0.995850795812948,"Not Sig."
"15631","Rsph14","ENSMUSG00000009070",FALSE,"Rsph14",71236,-0.170364723547625,0.229739323411053,1,"Not Sig.",-0.11137082826592,0.387566726572623,0.993405749193857,"Not Sig."
"15632","Rsph3a","ENSMUSG00000073471",FALSE,"Rsph3a",66832,0.0229626593538753,0.873874934605221,1,"Not Sig.",-0.173156236780187,0.194904266517367,0.969823221747388,"Not Sig."
"15633","Rsph3b","ENSMUSG00000023806",FALSE,"Rsph3b",100037282,0.0340929755320096,0.807258087340877,1,"Not Sig.",-0.0860316853729567,0.510570795923276,0.993405749193857,"Not Sig."
"15634","Rsph4a","ENSMUSG00000039552",FALSE,"Rsph4a",212892,-0.271737964907525,0.151750207341785,1,"Not Sig.",0.0859732130912377,0.714063090672763,0.997255085969628,"Not Sig."
"15635","Rsph6a","ENSMUSG00000040866",FALSE,"Rsph6a",83434,-0.00445237729531175,0.975999839951064,1,"Not Sig.",-0.158541071002279,0.234251579812767,0.972886003313183,"Not Sig."
"15636","Rsph9","ENSMUSG00000023966",FALSE,"Rsph9",75564,-0.34327940066877,0.0195002694121201,1,"Not Sig.",-0.0962929119455162,0.509807986264749,0.993405749193857,"Not Sig."
"15637","Rspo1","ENSMUSG00000028871",FALSE,"Rspo1",192199,-0.0753631291825359,0.655514416818313,1,"Not Sig.",-0.307824550618978,0.0510262837047082,0.86477636529823,"Not Sig."
"15638","Rspo2","ENSMUSG00000051920",FALSE,"Rspo2",239405,-0.0135342638786631,0.938027628058371,1,"Not Sig.",0.0735644695683714,0.699949796457119,0.997255085969628,"Not Sig."
"15639","Rspo3","ENSMUSG00000019880",FALSE,"Rspo3",72780,0.394689455616732,0.0753284816552243,1,"Not Sig.",0.0701143929694864,0.813518666908818,0.999068264048154,"Not Sig."
"15640","Rspo4","ENSMUSG00000032852",FALSE,"Rspo4",228770,-0.117321332731355,0.384358744299188,1,"Not Sig.",0.219938982142068,0.0626528640113669,0.888477048007826,"Not Sig."
"15641","Rspry1","ENSMUSG00000050079",FALSE,"Rspry1",67610,0.138643475156232,0.45669458434979,1,"Not Sig.",0.145458868229585,0.485317992905274,0.993405749193857,"Not Sig."
"15642","Rsrc1","ENSMUSG00000034544",FALSE,"Rsrc1",66880,-0.0695259038422788,0.623564020668021,1,"Not Sig.",0.226028557195193,0.112464279435504,0.933250373432285,"Not Sig."
"15643","Rsrc2","ENSMUSG00000029422",FALSE,"Rsrc2",208606,0.391552051491456,0.00292113430334661,1,"Not Sig.",0.0100183413847122,0.944690391502929,0.999068264048154,"Not Sig."
"15644","Rsrp1","ENSMUSG00000037266",FALSE,"Rsrp1",27981,-0.151878696178718,0.640968795103191,1,"Not Sig.",0.532150033436006,0.213098491002441,0.970204790239139,"Not Sig."
"15645","Rsu1","ENSMUSG00000026727",FALSE,"Rsu1",20163,-0.0520487651561061,0.726527035225001,1,"Not Sig.",0.00480332446023066,0.9759866508623,0.999100566295736,"Not Sig."
"15646","Rtbdn","ENSMUSG00000048617",FALSE,"Rtbdn",234542,-0.143332238633198,0.338804888135491,1,"Not Sig.",-0.051050419503399,0.721463123015254,0.997255085969628,"Not Sig."
"15647","Rtca","ENSMUSG00000000339",FALSE,"Rtca",66368,-0.0867227836470236,0.511319006346575,1,"Not Sig.",0.0108642919866794,0.92412728203003,0.999068264048154,"Not Sig."
"15648","Rtcb","ENSMUSG00000001783",FALSE,"Rtcb",28088,-0.0330415338759073,0.83490124000772,1,"Not Sig.",0.222690764115624,0.160637323595165,0.954458468280351,"Not Sig."
"15649","Rtel1","ENSMUSG00000038685",FALSE,"Rtel1",269400,0.0760629840339119,0.595812068012414,1,"Not Sig.",-0.0345146023084135,0.823962334459436,0.999068264048154,"Not Sig."
"15650","Rtf1","ENSMUSG00000027304",FALSE,"Rtf1",76246,-0.186809393357777,0.161707345395686,1,"Not Sig.",0.0206147602318883,0.879248384201896,0.999068264048154,"Not Sig."
"15651","Rtf2","ENSMUSG00000027502",FALSE,"Rtf2",66404,-0.0183971486076035,0.898740064557146,1,"Not Sig.",-0.124475350921495,0.342334606822342,0.993405749193857,"Not Sig."
"15652","Rtkn","ENSMUSG00000034930",FALSE,"Rtkn",20166,0.0425970744613651,0.767222574128517,1,"Not Sig.",0.0729486445847885,0.624154734857151,0.997255085969628,"Not Sig."
"15653","Rtkn2","ENSMUSG00000037846",FALSE,"Rtkn2",170799,0.0265131165479779,0.844579516937714,1,"Not Sig.",0.0542438334444082,0.669636779845461,0.997255085969628,"Not Sig."
"15654","Rtl1","ENSMUSG00000085925",FALSE,"Rtl1",353326,-0.110681216754291,0.394682654084986,1,"Not Sig.",-0.165019181929394,0.185271108441901,0.961276562936269,"Not Sig."
"15655","Rtl3","ENSMUSG00000047686",FALSE,"Rtl3",213436,-0.180147761558915,0.304325245543638,1,"Not Sig.",0.150627212018389,0.355336054978897,0.993405749193857,"Not Sig."
"15656","Rtl4","ENSMUSG00000071679",FALSE,"Rtl4",619287,0.0478442315939116,0.825903428746656,1,"Not Sig.",-0.145797478567454,0.691032778587072,0.997255085969628,"Not Sig."
"15657","Rtl5","ENSMUSG00000049191",FALSE,"Rtl5",331474,-0.15892827178063,0.177367443468594,1,"Not Sig.",0.30602215361903,0.0126661551829314,0.684965842853976,"Not Sig."
"15658","Rtl6","ENSMUSG00000055745",FALSE,"Rtl6",223732,-0.168806180836315,0.298432074366503,1,"Not Sig.",0.0614593177516161,0.681786367398108,0.997255085969628,"Not Sig."
"15659","Rtl8a","ENSMUSG00000067925",FALSE,"Rtl8a",66158,0.270396962672979,0.280671039232831,1,"Not Sig.",0.277524105896144,0.462400727982808,0.993405749193857,"Not Sig."
"15660","Rtl8b","ENSMUSG00000067924",FALSE,"Rtl8b",553127,-0.0707823703446207,0.768377881604963,1,"Not Sig.",0.441110559252393,0.397329375525188,0.993405749193857,"Not Sig."
"15661","Rtl8c","ENSMUSG00000051851",FALSE,"Rtl8c",72865,-0.0198361820962297,0.958735280127565,1,"Not Sig.",0.00601217030254045,0.996009934512552,0.999100566295736,"Not Sig."
"15662","Rtl9","ENSMUSG00000085584",FALSE,"Rtl9",209540,-0.0216306167468645,0.898516681160433,1,"Not Sig.",0.0491542678294794,0.840031191173463,0.999068264048154,"Not Sig."
"15663","Rtn1","ENSMUSG00000021087",FALSE,"Rtn1",104001,-0.42604177490146,0.00380272296906496,1,"Not Sig.",0.0407833306843504,0.765431689554474,0.997255085969628,"Not Sig."
