"","repID","Geneid","is_re","class","superf","fam","logFC_FucovsCtrl_F","pval_FucovsCtrl_F","padj_FucovsCtrl_F","sig_FucovsCtrl_F","logFC_FucovsCtrl_M","pval_FucovsCtrl_M","padj_FucovsCtrl_M","sig_FucovsCtrl_M"
"83","Chompy-6_Croc:PIF-Harbinger:DNA","Chompy-6_Croc:PIF-Harbinger:DNA",TRUE,"DNA","DNA/PIF-Harbinger","Chompy-6_Croc",-0.366420233833805,0.153559296582285,0.574352993189981,"Not Sig.",-0.0525445809632873,0.841171057080668,0.99994677260524,"Not Sig."
"84","CR1_Mam:CR1:LINE","CR1_Mam:CR1:LINE",TRUE,"LINE","LINE/CR1","CR1_Mam",0.140304065724707,0.310577787547181,0.738434994427245,"Not Sig.",-0.0139502767317448,0.919180202674967,0.99994677260524,"Not Sig."
"85","CR1-1_Amn:CR1:LINE","CR1-1_Amn:CR1:LINE",TRUE,"LINE","LINE/CR1","CR1-1_Amn",-0.373468625322429,0.124031185715825,0.529991009060912,"Not Sig.",0.0103409885712355,0.96487175593804,0.99994677260524,"Not Sig."
"86","CR1-11_Crp:CR1:LINE","CR1-11_Crp:CR1:LINE",TRUE,"LINE","LINE/CR1","CR1-11_Crp",1.15913937029125,0.0139244452992729,0.20693582307426,"Not Sig.",-0.588291867214245,0.218456690294961,0.99994677260524,"Not Sig."
"87","CR1-12_AMi:CR1:LINE","CR1-12_AMi:CR1:LINE",TRUE,"LINE","LINE/CR1","CR1-12_AMi",0.155951050274784,0.498447746564733,0.848716557166287,"Not Sig.",0.0870156203245851,0.701511560645323,0.99994677260524,"Not Sig."
"88","CR1-13_AMi:CR1:LINE","CR1-13_AMi:CR1:LINE",TRUE,"LINE","LINE/CR1","CR1-13_AMi",0.453531867449166,0.061312608407668,0.400890099648691,"Not Sig.",0.103001087842369,0.683908741667711,0.99994677260524,"Not Sig."
"89","CR1-16_AMi:CR1:LINE","CR1-16_AMi:CR1:LINE",TRUE,"LINE","LINE/CR1","CR1-16_AMi",-0.0341982711485305,0.835535636837409,0.968326509819575,"Not Sig.",0.19833737852633,0.221070489367101,0.99994677260524,"Not Sig."
"90","CR1-3_Croc:CR1:LINE","CR1-3_Croc:CR1:LINE",TRUE,"LINE","LINE/CR1","CR1-3_Croc",0.251386152026652,0.170745014770312,0.594984775638801,"Not Sig.",0.0558730423881228,0.755262706781144,0.99994677260524,"Not Sig."
"91","CR1-L3A_Croc:CR1:LINE","CR1-L3A_Croc:CR1:LINE",TRUE,"LINE","LINE/CR1","CR1-L3A_Croc",0.423957881381567,0.259450801888319,0.693504024974039,"Not Sig.",-0.044008356270281,0.906194622205166,0.99994677260524,"Not Sig."
"92","CR1-L3B_Croc:CR1:LINE","CR1-L3B_Croc:CR1:LINE",TRUE,"LINE","LINE/CR1","CR1-L3B_Croc",1.20613198520694,0.00244650916230474,0.078022292197564,"Not Sig.",-0.170837093079264,0.673624093144647,0.99994677260524,"Not Sig."
